word;Economy;Sport;Hospitals;General statistics;Restrictions;Vaccine research;Mental health;Schools;Global politics;General politics;Global statistics;Vaccine politics
insufficient;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lies;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
improvement;1;1;1;1;1;1;1;1;1;1;1;1
holy;1;1;1;1;1;1;1;1;1;1;1;1
promise;1;1;1;1;1;1;1;1;1;1;1;1
strike;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
supreme;1;1;1;1;1;1;1;1;1;1;1;1
exceeds;NA;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;-1
stuck;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
breaking;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
controversial;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sensitive;1;1;1;1;1;1;1;1;1;1;1;1
savings;1;1;1;1;1;1;1;1;1;1;1;1
reasonable;1;1;1;1;1;1;1;1;1;1;1;1
lucky;1;1;1;1;1;1;1;1;1;1;1;1
unusual;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
limitations;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
deadly;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sorry;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
accessible;1;1;1;1;1;1;1;1;1;1;1;1
proud;1;1;1;1;1;1;1;1;1;1;1;1
faith;1;1;1;1;1;1;1;1;1;1;1;1
threatening;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
complaint;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
survival;1;1;1;1;1;1;1;1;1;1;1;1
promising;1;1;1;1;1;1;1;1;1;1;1;1
joy;1;1;1;1;1;1;1;1;1;1;1;1
threats;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
prefer;1;1;1;1;1;1;1;1;1;1;1;1
fatal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
facilitate;1;1;1;1;1;1;1;1;1;1;1;1
wild;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
resignation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
gain;1;1;1;1;1;1;1;1;1;1;1;1
improving;1;1;1;1;1;1;1;1;1;1;1;1
abuse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
blame;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
renewed;1;1;1;1;1;1;1;1;1;1;1;1
tragedy;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
dispute;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
